profile_id,tm_id,apif_id,first_initial,first_name,middle_name,last_name,name_prefix,nickname,display_name,date_of_birth,birth_country,birth_city,nationality,nationality_secondary,height_cm,foot,photo_url,position,sub_position,current_club,data_confidence,needs_curation,curation_reason,match_tier,source_records
PROF-0001,1437503,apif_527392,A,Ayaz,,Özcan,,,Ayaz Özcan,2009-10-01,Türkiye,Ankara,Türkiye,,,,https://media.api-sports.io/football/players/527392.png,Attacker,,Gençlerbirliği S.K.,VERIFIED,False,,Tier 2,TM:1437503 + APIF:apif_527392
PROF-0002,1049906,apif_429270,B,Ben,,Brannan,,,Ben Brannan,2007-01-30,Scotland,,Scotland,,,,https://media.api-sports.io/football/players/429270.png,Defender,,Kilmarnock,VERIFIED,False,,Tier 2,TM:1049906 + APIF:apif_429270
PROF-0003,1118495,apif_449689,D,David,Santos,Daiber,,,David Santos Daiber,2007-01-10,Portugal,,Portugal,,185,right,https://img.a.transfermarkt.technology/portrait/header/1118495-1726492665.png?lm=1,Midfield,Defensive Midfield,FC Bayern München,VERIFIED,False,,Tier 2,TM:1118495 + APIF:apif_449689
PROF-0004,584769,apif_18929,D,Dwight,James Matthew,McNeil,,,Dwight McNeil,1999-11-22,England,Rochdale,England,,183,left,https://img.a.transfermarkt.technology/portrait/header/584769-1700651579.jpg?lm=1,Attack,Left Winger,Everton,VERIFIED,False,,Tier 2,TM:584769 + APIF:apif_18929
PROF-0005,1009441,apif_414474,F,Felipe,,Chávez,,,Felipe Chávez,2007-04-10,Peru,,Peru,,171,,https://media.api-sports.io/football/players/414474.png,Midfielder,,Bayern München,VERIFIED,False,,Tier 2,TM:1009441 + APIF:apif_414474
PROF-0006,897402,apif_389035,F,Farid,,Alfa-Ruprecht,,,Farid Alfa-Ruprecht,2006-03-28,Germany,Hamburg,Germany,,189,,https://media.api-sports.io/football/players/389035.png,Goalkeeper,,Bayer Leverkusen,VERIFIED,False,,Tier 2,TM:897402 + APIF:apif_389035
PROF-0007,627224,apif_266630,G,Gabriel,,Silva,,,Gabriel Silva,2002-03-22,Brazil,Ribeirão Preto,Brazil,,177,right,https://img.a.transfermarkt.technology/portrait/header/627224-1598272630.jpg?lm=1,Attack,Left Winger,Clube Desportivo Santa Clara,VERIFIED,False,,Tier 2,TM:627224 + APIF:apif_266630
PROF-0008,718312,apif_237232,H,Hamzat,,Ojediran,,,Hamzat Ojediran,2003-11-14,Nigeria,Lagos,Nigeria,,180,right,https://img.a.transfermarkt.technology/portrait/header/718312-1723133488.jpg?lm=1,Midfield,Defensive Midfield,Racing Club de Lens,VERIFIED,False,,Tier 2,TM:718312 + APIF:apif_237232
PROF-0009,834487,apif_313025,H,Hugo,,Rincón,,,Hugo Rincón,2003-01-27,Spain,Valtierra,Spain,,183,,https://media.api-sports.io/football/players/313025.png,Midfielder,,Athletic Club,VERIFIED,False,,Tier 2,TM:834487 + APIF:apif_313025
PROF-0010,532732,apif_826,I,Igor,,Diveev,,,Igor Diveev,1999-09-27,Russia,Moscow,Russia,,195,right,https://img.a]...,Defender,Centre-Back,CSKA Moscow,VERIFIED,False,,Tier 2,TM:532732 + APIF:apif_826
PROF-0011,675857,apif_68079,I,Indrit,,Tuci,,,Indrit Tuci,2000-09-14,Albania,Lezhë,Albania,,180,,https://media.api-sports.io/football/players/68079.png,Midfielder,,Kayserispor,VERIFIED,False,,Tier 2,TM:675857 + APIF:apif_68079
PROF-0012,27493,apif_47399,I,Iván,,Cuéllar,,,Iván Cuéllar,1984-05-27,Spain,Mérida,Spain,,187,left,https://img.a.transfermarkt.technology/portrait/header/27493-1664289273.jpg?lm=1,Goalkeeper,Goalkeeper,Real Club Deportivo Mallorca S.A.D.,VERIFIED,False,,Tier 2,TM:27493 + APIF:apif_47399
PROF-0013,670681,apif_335051,J,João,Pedro Gonçalves,Neves,,,João Neves,2004-09-27,Portugal,Tavira,Portugal,,174,right,https://img.a.transfermarkt.technology/portrait/header/670681-1701295511.jpg?lm=1,Midfield,Central Midfield,Paris Saint Germain,VERIFIED,False,,Tier 2,TM:670681 + APIF:apif_335051
PROF-0014,129581,apif_38777,J,Jordy,,Croux,,,Jordy Croux,1994-01-15,Belgium,Hasselt,Belgium,,172,left,https://img.a.transfermarkt.technology/portrait/header/129581-1574280450.jpg?lm=1,Attack,Right Winger,Willem II Tilburg,VERIFIED,False,,Tier 2,TM:129581 + APIF:apif_38777
PROF-0015,530173,apif_203011,J,Julian,,Niehues,,,Julian Niehues,2001-04-17,Germany,Münster,Germany,,195,right,https://img.a.transfermarkt.technology/portrait/header/530173-1721852705.jpg?lm=1,Midfield,Defensive Midfield,1. Fußballclub Heidenheim 1846,VERIFIED,False,,Tier 2,TM:530173 + APIF:apif_203011
PROF-0016,315110,apif_1709,K,Karl,Toko,Ekambi,,,Karl Toko Ekambi,1992-09-14,France,Paris,Cameroon,,182,right,https://img.a.transfermarkt.technology/portrait/header/315110-1668412255.jpg?lm=1,Attack,Left Winger,Stade Rennais Football Club,VERIFIED,False,,Tier 2,TM:315110 + APIF:apif_1709
PROF-0017,148153,apif_18963,L,Lewis,,Dunk,,,Lewis Dunk,1991-11-21,England,Brighton,England,,192,right,https://img.a.transfermarkt.technology/portrait/header/148153-1716297176.jpg?lm=1,Defender,Centre-Back,Brighton,VERIFIED,False,,Tier 2,TM:148153 + APIF:apif_18963
PROF-0018,817355,apif_465350,M,Matvey,,Urvantsev,,,Matvey Urvantsev,2004-11-29,Russia,,Russia,,184,,https://media.api-sports.io/football/players/465350.png,Defender,,Nizhny Novgorod,VERIFIED,False,,Tier 2,TM:817355 + APIF:apif_465350
PROF-0019,296622,apif_746,M,Marco,Asensio Willemsen,Asensio,,,Marco Asensio,1996-01-21,Spain,Palma de Mallorca,Spain,,182,left,https://img.a.transfermarkt.technology/portrait/header/296622-1765459707.png?lm=1,Midfield,Attacking Midfield,Fenerbahçe,VERIFIED,False,,Tier 2,TM:296622 + APIF:apif_746
